Nina,108,2021-12-31_05:21
n,108,2022-01-09_19:12
n,92,2022-01-09_18:52
n,87,2022-01-09_18:57
Nina,84,2021-12-31_05:28
Laura,78,2022-01-02_14:05
Nina,69,2022-01-09_17:03
Nina,49,2022-01-09_17:27
Raphi,48,2022-01-02_13:32
n,3,2022-01-09_19:37
Nina,1,2022-01-12_21:23
n,0,2022-01-09_19:09
testname,0,2022-01-18_16:15
test1233333222111,0,2022-01-18_16:29
dsfg,0,2022-01-18_16:31
üäüä,0,2022-01-18_16:32
nexttester1,0,2022-01-18_16:33
